Raster_File,Count_t1,Count_t2,change
Abelmoschus esculentus,18001,15475,-14
Actinidia deliciosa,5271,2453,-53.5
Anacardium occidentale,5430,4661,-14.2
Bertholletia excelsa Bonpl,0,0,0
Brassica napus,7253,5198,-28.3
Brassica nigra,0,0,0
Castanea_sativa_Mill,608,598,-1.6
Citrullus lanatus,20679,21735,5.1
Cocos nucifera,9694,12246,26.3
Coffea arabica,4003,1776,-55.6
Coffea canephora,3800,1428,-62.4
Coffea liberica,4491,2102,-53.2
Cola acuminata,0,0,0
Cola nitida,0,0,0
Cucumis melo,14165,15405,8.8
Cucumis sativus,18431,16051,-12.9
Cucurbita maxima,7944,4445,-44
Cucurbita moschata,11218,6964,-37.9
Cucurbita pepo,7968,6069,-23.8
Elettaria cardamomum,6864,3835,-44.1
Fagopyrum esculentum,15753,14282,-9.3
Fragaria ananassa,6095,8591,41
Fragaria chiloensis,0,0,0
Fragaria moschata,0,0,0
Fragaria virginiana,2259,2948,30.5
Fragaria viridis,1182,165,-86
Fragaria_vesca,16351,12924,-21
Glycine max,21654,30770,42.1
Glycine soja,11175,14501,29.8
Gossypium arboreum,23519,27847,18.4
Gossypium barbadense,9875,7435,-24.7
Gossypium herbaceum,22331,14792,-33.8
Gossypium hirsutum,6030,7050,16.9
Helianthus annuus,17137,15902,-7.2
Malus domestica,8066,8971,11.2
Mangifera indica,20170,19749,-2.1
Myristica fragrans,5715,2509,-56.1
Persea americana,8154,4683,-42.6
Prunus armeniaca,7292,3525,-51.7
Prunus cerasus,4144,7033,69.7
Prunus domestica,3047,3268,7.3
Prunus persica,7733,5949,-23.1
Prunus_avium,1642,1463,-10.9
Prunus_spinosa,3116,2250,-27.8
Pyrus communis,4249,5457,28.4
Ribes nigrum,13447,7308,-45.7
Ribes rubrum,3011,3540,17.6
Rubus chamaemorus,26210,19695,-24.9
Rubus flagellaris,0,0,0
Rubus_idaeus,19352,12915,-33.3
Sesamum indicum,24108,23905,-0.8
Sinapis alba,1407,1651,17.3
Solanum melongena,25447,25999,2.2
Theobroma cacao,9657,7423,-23.1
Vaccinium angustifolium,0,0,0
Vaccinium corymbosum,0,0,0
Vaccinium oxycoccus,1003,936,-6.7
Vaccinium_myrtillus,14218,10215,-28.2
Vanilla planifolia,4990,5456,9.3
Vanilla pompona,0,0,0
Vicia faba,8728,6232,-28.6
